Party,2017,2022,
LREM,24.01,27.85
RN,21.30,23.15
LFI,19.58,21.95
REC,0,7.07
LR,20.01,4.78
EELV,0,4.63
RES,1.21,3.13
PCF,0,2.28
DLF,4.7,2.06
PS,6.36,1.74
NPA,1.09,0.76
LO,0.64,0.56
